commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison
CMD-Q1-00034,CLI0207,PRD0012,7,295.77,2070.39,2024-02-24,livrée,Virement,PACA
CMD-Q1-00035,CLI0232,PRD0099,1,182.41,182.41,2024-03-12,livrée,Virement,PACA
CMD-Q1-00036,CLI0309,PRD0046,5,69.9,349.5,2024-03-28,annulée,PayPal,Occitanie
CMD-Q1-00037,CLI0498,PRD0023,6,163.48,980.88,2024-01-28,livrée,CB,Île-de-France
CMD-Q1-00038,CLI0173,PRD0093,4,62.68,250.72,2024-03-19,livrée,PayPal,Auvergne-RA
CMD-Q1-00039,CLI0337,PRD0022,7,235.27,1646.89,2024-03-22,livrée,CB,Île-de-France
CMD-Q1-00040,CLI0401,PRD0004,2,42.82,85.64,2024-01-04,livrée,CB,Île-de-France
CMD-Q1-00041,CLI0299,PRD0123,4,71.91,287.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00042,CLI0030,PRD0132,7,66.14,462.98,2024-01-30,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00043,CLI0237,PRD0090,7,80.66,564.62,2024-01-06,en_cours,CB,PACA
CMD-Q1-00044,CLI0155,PRD0094,6,167.61,1005.66,2024-02-08,retournée,CB,Occitanie
CMD-Q1-00045,CLI0171,PRD0135,3,112.71,338.13,2024-03-22,livrée,CB,Île-de-France
CMD-Q1-00046,CLI0450,PRD0022,8,235.27,,2024-02-13,annulée,CB,Île-de-France
CMD-Q1-00047,CLI0442,PRD0009,1,58.82,58.82,2024-02-14,en_cours,Chèque,Occitanie
CMD-Q1-00048,CLI9966,PRD0083,3,173.76,521.28,2024-01-29,livrée,CB,Occitanie
CMD-Q1-00049,CLI0016,PRD0087,8,72.84,582.72,2024-03-17,retournée,CB,Occitanie
CMD-Q1-00050,CLI0491,PRD0010,1,81.94,81.94,2024-03-20,en_cours,CB,Île-de-France
CMD-Q1-00051,CLI0495,PRD0134,7,487.38,3411.66,2024-03-09,annulée,CB,Occitanie
CMD-Q1-00052,CLI0302,PRD0068,9,12.48,112.32,2024-03-07,retournée,CB,Occitanie
CMD-Q1-00053,CLI0076,PRD0063,2,86.81,173.62,2024-03-17,livrée,CB,PACA
CMD-Q1-00054,CLI0427,PRD0051,1,10.76,10.76,2024-03-26,livrée,Virement,Auvergne-RA
CMD-Q1-00055,CLI0410,PRD0037,1,48.24,48.24,2024-02-09,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00056,CLI0282,PRD0085,7,181.81,1272.67,2024-03-25,retournée,CB,PACA
CMD-Q1-00057,CLI0313,PRD0149,1,123.18,123.18,2024-01-23,livrée,CB,PACA
CMD-Q1-00058,CLI0313,PRD0109,5,18.3,91.5,2024-01-31,livrée,CB,Occitanie
CMD-Q1-00059,CLI0498,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Occitanie
CMD-Q1-00060,CLI0381,PRD0116,1,52.36,52.36,2024-03-28,livrée,Chèque,Nouvelle-Aquitaine
CMD-Q1-00061,CLI0016,PRD0025,7,111.14,777.98,2024-02-23,annulée,CB,PACA
CMD-Q1-00062,CLI0070,PRD0122,5,108.11,540.55,2024-02-17,livrée,Virement,Auvergne-RA
CMD-Q1-00063,CLI0109,PRD0009,8,58.82,470.56,2024-01-09,livrée,CB,PACA
CMD-Q1-00064,CLI0330,PRD0109,4,18.3,73.2,2024-03-01,,Chèque,Île-de-France
CMD-Q1-00065,CLI0073,PRD0074,5,101.69,508.45,2024-02-21,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00066,CLI0287,PRD0089,7,93.09,651.63,2024-02-19,livrée,CB,Occitanie
CMD-Q1-00067,CLI0374,PRD0075,2,71.64,,2024-03-24,en_cours,CB,PACA
CMD-Q1-00068,CLI0183,PRD0035,7,17.54,122.78,2024-01-14,livrée,PayPal,PACA
CMD-Q1-00069,CLI0273,PRD0042,3,126.36,379.08,2024-03-03,annulée,Chèque,Auvergne-RA
CMD-Q1-00070,CLI0331,PRD0152,1,499.98,499.98,2024-01-26,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00071,CLI0112,PRD0020,8,304.72,2437.76,2024-03-26,annulée,CB,Île-de-France
CMD-Q1-00072,CLI0001,PRD0027,7,45.84,320.88,2024-03-20,en_cours,CB,Île-de-France
CMD-Q1-00073,CLI0048,PRD0133,1,55.03,55.03,2024-01-03,en_cours,CB,Nouvelle-Aquitaine
CMD-Q1-00074,CLI0206,PRD0050,2,27.92,55.84,2024-03-19,livrée,CB,Auvergne-RA
CMD-Q1-00075,CLI0001,PRD0013,4,59.14,236.56,2024-02-03,livrée,CB,Île-de-France
CMD-Q1-00076,CLI0310,PRD0091,8,75.28,602.24,2024-01-02,livrée,Virement,Occitanie
CMD-Q1-00077,CLI0442,PRD0080,1,131.51,131.51,2024-01-02,annulée,Virement,Île-de-France
CMD-Q1-00078,CLI0265,PRD0066,5,181.07,905.35,2024-03-26,en_cours,Virement,Occitanie
CMD-Q1-00079,CLI0082,PRD0125,4,31.95,127.8,2024-01-27,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00080,CLI9997,PRD0056,8,46.62,372.96,2024-01-13,livrée,CB,Île-de-France
CMD-Q1-00081,CLI0071,PRD0067,4,126.77,507.08,2024-01-18,retournée,Virement,Auvergne-RA
CMD-Q1-00082,CLI0020,PRD0128,3,99.94,299.82,2024-03-28,livrée,PayPal,Île-de-France
CMD-Q1-00083,CLI0413,PRD0126,6,82.76,496.56,2024-02-10,livrée,Chèque,Auvergne-RA
CMD-Q1-00084,CLI0403,PRD0119,8,496.56,3972.48,2024-02-26,livrée,PayPal,Occitanie
CMD-Q1-00085,CLI0336,PRD0026,6,334.76,2008.56,2024-03-05,en_cours,CB,Île-de-France
CMD-Q1-00086,CLI0016,PRD0078,4,217.49,869.96,2024-03-11,livrée,Virement,Auvergne-RA
CMD-Q1-00087,CLI0198,PRD0058,5,118.62,593.1,2024-03-23,livrée,CB,Auvergne-RA
CMD-Q1-00088,CLI0317,PRD0069,9,106.11,954.99,2024-01-02,en_cours,CB,Occitanie
CMD-Q1-00089,CLI0032,PRD0058,3,118.62,355.86,2024-01-31,en_cours,CB,Île-de-France
CMD-Q1-00090,CLI0444,PRD0126,5,82.76,413.8,2024-03-21,livrée,PayPal,Auvergne-RA
CMD-Q1-00091,CLI0127,PRD0130,2,186.38,372.76,2024-02-05,livrée,CB,Île-de-France
CMD-Q1-00092,CLI0429,PRD0041,5,48.15,240.75,2024-03-28,livrée,CB,Île-de-France
CMD-Q1-00093,CLI0306,PRD0117,1,69.72,69.72,2024-02-09,en_cours,CB,Auvergne-RA
CMD-Q1-00094,CLI0073,PRD0017,2,222.33,444.66,2024-01-14,en_cours,CB,Auvergne-RA
CMD-Q1-00095,CLI0346,PRD0019,5,62.97,314.85,2024-02-21,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00096,CLI0131,PRD0063,1,86.81,86.81,2024-02-18,en_cours,CB,Nouvelle-Aquitaine
CMD-Q1-00097,CLI0025,PRD0049,1,65.78,65.78,2024-01-10,livrée,CB,Occitanie
CMD-Q1-00098,CLI0121,PRD0026,7,334.76,2343.32,2024-02-14,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00099,CLI0098,PRD0126,8,82.76,662.08,2024-01-26,livrée,CB,Auvergne-RA
CMD-Q1-00100,CLI0387,PRD0046,4,69.9,279.6,2024-02-24,en_cours,Virement,Nouvelle-Aquitaine
CMD-Q1-00101,CLI0180,PRD0012,2,295.77,591.54,2024-02-20,livrée,CB,PACA
CMD-Q1-00102,CLI0069,PRD0122,3,108.11,324.33,2024-01-23,en_cours,CB,PACA
CMD-Q1-00103,CLI0035,PRD0125,8,31.95,255.6,2024-01-14,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00104,CLI0359,PRD0012,1,295.77,295.77,2024-01-04,livrée,Virement,Occitanie
CMD-Q1-00105,CLI0307,PRD0125,8,31.95,255.6,2024-01-11,livrée,Virement,Île-de-France
CMD-Q1-00106,CLI0460,PRD0106,4,52.42,209.68,2024-01-14,annulée,Virement,Occitanie
CMD-Q1-00107,CLI0086,PRD0044,6,146.42,878.52,2024-02-13,annulée,CB,Île-de-France
CMD-Q1-00108,CLI0039,PRD0126,9,82.76,744.84,2024-03-28,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00109,CLI0279,PRD0075,9,71.64,644.76,2024-02-26,livrée,Chèque,Occitanie
CMD-Q1-00110,CLI0435,PRD0035,4,17.54,70.16,2024-01-18,livrée,CB,Occitanie
CMD-Q1-00111,CLI0296,PRD0013,1,59.14,59.14,2024-03-29,livrée,Virement,Occitanie
CMD-Q1-00112,CLI0018,PRD0136,9,54.7,492.3,2024-02-26,livrée,CB,Occitanie
CMD-Q1-00113,CLI0485,PRD0077,2,151.78,303.56,2024-03-26,livrée,CB,Auvergne-RA
CMD-Q1-00114,CLI0308,PRD0074,5,101.69,508.45,2024-03-17,livrée,CB,Auvergne-RA
CMD-Q1-00115,CLI0388,PRD0065,6,352.58,2115.48,2024-01-11,livrée,PayPal,Occitanie
CMD-Q1-00116,CLI0336,PRD0104,4,81.27,325.08,2024-01-31,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00117,CLI0197,PRD0099,8,182.41,1459.28,2024-03-17,livrée,CB,Auvergne-RA
CMD-Q1-00118,CLI0171,PRD0074,3,101.69,305.07,2024-01-15,en_cours,CB,PACA
CMD-Q1-00119,CLI0420,PRD0098,7,37.93,265.51,2024-03-07,livrée,Chèque,PACA
CMD-Q1-00120,CLI0170,PRD0028,2,59.7,119.4,2024-03-20,livrée,CB,Auvergne-RA
CMD-Q1-00121,CLI0049,PRD0090,6,80.66,483.96,2024-03-02,livrée,CB,Île-de-France
CMD-Q1-00122,CLI0051,PRD0048,8,164.13,1313.04,2024-02-12,livrée,PayPal,Nouvelle-Aquitaine
CMD-Q1-00123,CLI0342,PRD0113,4,82.62,330.48,2024-02-18,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00124,CLI0463,PRD0149,5,123.18,615.9,2024-01-17,livrée,Chèque,Occitanie
CMD-Q1-00125,CLI0034,PRD0068,5,12.48,62.4,2024-03-06,livrée,PayPal,Auvergne-RA
CMD-Q1-00126,CLI0193,PRD0136,5,54.7,273.5,2024-03-18,livrée,CB,Île-de-France
CMD-Q1-00127,CLI0161,PRD0050,3,27.92,83.76,2024-01-13,en_cours,Chèque,Occitanie
CMD-Q1-00128,CLI0127,PRD0092,5,159.37,796.85,2024-03-20,retournée,CB,Nouvelle-Aquitaine
CMD-Q1-00129,CLI0353,PRD0128,3,99.94,299.82,2024-03-05,livrée,Chèque,PACA
CMD-Q1-00130,CLI0471,PRD0112,2,79.76,,2024-03-10,livrée,CB,Île-de-France
CMD-Q1-00131,CLI0017,PRD0073,4,200.41,801.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00132,CLI0486,PRD0132,8,66.14,529.12,2024-01-25,annulée,CB,Occitanie
CMD-Q1-00133,CLI0344,PRD0030,1,43.58,43.58,2024-03-15,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00134,CLI0213,PRD0065,4,352.58,,2024-02-18,en_cours,CB,PACA
CMD-Q1-00135,CLI0428,PRD0082,2,36.44,72.88,2024-03-12,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00136,CLI0389,PRD0082,3,36.44,109.32,2024-01-14,livrée,Chèque,Nouvelle-Aquitaine
CMD-Q1-00137,CLI0068,PRD0055,6,45.75,274.5,2024-03-19,livrée,CB,Île-de-France
CMD-Q1-00138,CLI0463,PRD0074,2,101.69,203.38,2024-01-17,livrée,Virement,PACA
CMD-Q1-00139,CLI0271,PRD0044,2,146.42,292.84,2024-03-18,en_cours,CB,PACA
CMD-Q1-00140,CLI0004,PRD0066,8,181.07,1448.56,2024-01-10,livrée,CB,PACA
CMD-Q1-00141,CLI0324,PRD0003,3,83.45,250.35,2024-02-09,en_cours,CB,Nouvelle-Aquitaine
CMD-Q1-00142,CLI0337,PRD0099,1,182.41,182.41,2024-01-02,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00143,CLI0084,PRD0069,8,106.11,848.88,2024-02-08,livrée,CB,Occitanie
CMD-Q1-00144,CLI0005,PRD0120,3,107.93,323.79,2024-03-30,livrée,Chèque,Auvergne-RA
CMD-Q1-00145,CLI0441,PRD0020,9,304.72,2742.48,2024-02-19,livrée,CB,Île-de-France
CMD-Q1-00146,CLI0335,PRD0089,4,93.09,372.36,2024-03-12,livrée,Virement,Auvergne-RA
CMD-Q1-00147,CLI0225,PRD0087,2,72.84,145.68,2024-01-16,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00148,CLI0189,PRD0024,4,20.71,82.84,2024-02-27,livrée,CB,Auvergne-RA
CMD-Q1-00149,CLI0064,PRD0137,3,54.72,164.16,2024-02-23,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00150,CLI0039,PRD0021,1,78.18,78.18,2024-02-15,livrée,CB,Auvergne-RA
CMD-Q1-00151,CLI0386,PRD0051,4,10.76,43.04,2024-03-22,livrée,CB,Auvergne-RA
CMD-Q1-00152,CLI0049,PRD0085,6,181.81,1090.86,2024-03-10,annulée,PayPal,Occitanie
CMD-Q1-00153,CLI0421,PRD0144,1,212.05,212.05,2024-01-03,annulée,Chèque,PACA
CMD-Q1-00154,CLI0097,PRD0008,8,308.27,2466.16,2024-03-11,livrée,CB,PACA
CMD-Q1-00155,CLI0094,PRD0015,9,80.47,724.23,2024-01-26,en_cours,Virement,Nouvelle-Aquitaine
CMD-Q1-00156,CLI0373,PRD0014,6,415.81,2494.86,2024-03-13,livrée,PayPal,Occitanie
CMD-Q1-00157,CLI0164,PRD0042,7,126.36,884.52,2024-01-27,livrée,CB,Île-de-France
CMD-Q1-00158,CLI0066,PRD0053,6,79.12,474.72,2024-02-27,en_cours,Chèque,Nouvelle-Aquitaine
CMD-Q1-00159,CLI0237,PRD0116,5,52.36,261.8,2024-01-03,en_cours,CB,Nouvelle-Aquitaine
CMD-Q1-00160,CLI0059,PRD0016,8,87.66,701.28,2024-03-21,livrée,Chèque,Île-de-France
CMD-Q1-00161,CLI0297,PRD0103,2,57.7,115.4,2024-02-19,livrée,CB,PACA
CMD-Q1-00162,CLI0498,PRD0020,4,304.72,1218.88,2024-02-05,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00163,CLI0128,PRD0069,1,106.11,106.11,2024-02-20,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00164,CLI0066,PRD0022,2,235.27,470.54,2024-01-21,livrée,CB,Occitanie
CMD-Q1-00165,CLI0244,PRD0002,5,135.96,679.8,2024-02-17,livrée,PayPal,PACA
CMD-Q1-00166,CLI0388,PRD0144,2,212.05,424.1,2024-01-12,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00167,CLI0146,PRD0100,9,62.84,565.56,2024-01-09,livrée,CB,Auvergne-RA
CMD-Q1-00168,CLI0270,PRD0075,9,71.64,644.76,2024-01-03,livrée,CB,Occitanie
CMD-Q1-00169,CLI0092,PRD0097,7,149.62,1047.34,2024-02-21,annulée,CB,Nouvelle-Aquitaine
CMD-Q1-00170,CLI0131,PRD0029,2,149.76,299.52,2024-03-30,livrée,CB,Auvergne-RA
CMD-Q1-00171,CLI0130,PRD0137,7,54.72,383.04,2024-03-01,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00172,CLI0473,PRD0127,8,63.31,506.48,2024-02-03,livrée,CB,PACA
CMD-Q1-00173,CLI0359,PRD0011,1,27.63,,2024-03-30,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00174,CLI0313,PRD0098,8,37.93,303.44,2024-03-13,livrée,Virement,PACA
CMD-Q1-00175,CLI0434,PRD0128,3,99.94,299.82,2024-02-11,en_cours,Virement,Île-de-France
CMD-Q1-00176,CLI0220,PRD0106,5,52.42,262.1,2024-03-09,livrée,CB,Occitanie
CMD-Q1-00177,CLI0369,PRD0130,7,186.38,1304.66,2024-01-06,en_cours,CB,Auvergne-RA
CMD-Q1-00178,CLI0026,PRD0006,6,79.23,475.38,2024-02-08,annulée,Virement,PACA
CMD-Q1-00179,CLI0052,PRD0079,9,400.46,3604.14,2024-01-02,annulée,PayPal,Auvergne-RA
CMD-Q1-00180,CLI0323,PRD0147,1,56.16,56.16,2024/03/22,retournée,CB,Occitanie
CMD-Q1-00181,CLI0293,PRD0130,9,186.38,1677.42,2024-02-14,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00182,CLI0208,PRD0043,9,100.34,903.06,2024-03-14,,Virement,PACA
CMD-Q1-00183,CLI0321,PRD0048,9,164.13,1477.17,2024-02-22,livrée,CB,Île-de-France
CMD-Q1-00184,CLI0429,PRD0028,4,59.7,238.8,2024-01-17,annulée,CB,Nouvelle-Aquitaine
CMD-Q1-00185,CLI0069,PRD0011,5,27.63,138.15,2024-03-06,livrée,CB,Occitanie
CMD-Q1-00186,CLI0101,PRD0103,2,57.7,115.4,2024-01-21,livrée,PayPal,Occitanie
CMD-Q1-00187,CLI0225,PRD0067,6,126.77,760.62,2024-01-01,livrée,Chèque,Nouvelle-Aquitaine
CMD-Q1-00188,CLI0380,PRD0131,9,95.19,856.71,2024-02-22,annulée,CB,Île-de-France
CMD-Q1-00189,CLI0430,PRD0089,7,93.09,,2024-03-28,livrée,CB,Auvergne-RA
CMD-Q1-00190,CLI0280,PRD0074,5,101.69,508.45,2024-03-22,livrée,Chèque,Auvergne-RA
CMD-Q1-00191,CLI0153,PRD0033,1,291.53,291.53,2024-01-21,annulée,CB,Île-de-France
CMD-Q1-00192,CLI0073,PRD0018,1,121.33,121.33,2024-02-02,annulée,Virement,PACA
CMD-Q1-00193,CLI0347,PRD0011,5,27.63,138.15,2024-01-16,livrée,CB,Île-de-France
CMD-Q1-00194,CLI0288,PRD0017,2,222.33,444.66,2024-02-10,livrée,CB,Île-de-France
CMD-Q1-00195,CLI0198,PRD0101,1,52.8,52.8,2024-02-14,en_cours,CB,Auvergne-RA
CMD-Q1-00196,CLI0232,PRD0142,1,137.33,137.33,2024-02-05,livrée,CB,Occitanie
CMD-Q1-00197,CLI0328,PRD0064,9,107.08,963.72,2024-01-20,en_cours,CB,Occitanie
CMD-Q1-00198,CLI0015,PRD0140,3,84.52,253.56,2024-01-31,livrée,CB,Occitanie
CMD-Q1-00199,CLI0090,PRD0059,7,117.97,825.79,2024-03-15,livrée,PayPal,Occitanie
CMD-Q1-00200,CLI0440,PRD0078,3,217.49,652.47,2024-01-28,livrée,CB,Auvergne-RA
CMD-Q1-00201,CLI0476,PRD0004,5,42.82,214.1,2024-03-18,livrée,CB,PACA
CMD-Q1-00202,CLI0214,PRD0006,2,79.23,158.46,2024-03-18,livrée,CB,Occitanie
CMD-Q1-00203,CLI0371,PRD0070,0,28.37,28.37,2024-03-28,livrée,CB,Occitanie
CMD-Q1-00204,CLI0332,PRD0044,2,146.42,292.84,2024-02-26,retournée,Virement,Occitanie
CMD-Q1-00205,CLI0136,PRD0024,2,20.71,41.42,2024-02-22,livrée,CB,Occitanie
CMD-Q1-00206,CLI0424,PRD0127,7,63.31,443.17,2024-02-08,livrée,CB,Occitanie
CMD-Q1-00207,CLI0223,PRD0108,3,100.76,302.28,2024-01-20,livrée,CB,PACA
CMD-Q1-00208,CLI0304,PRD0041,3,48.15,144.45,2024-02-14,en_cours,Virement,Nouvelle-Aquitaine
CMD-Q1-00209,CLI0213,PRD0028,3,59.7,179.1,2024-03-18,livrée,CB,PACA
CMD-Q1-00210,CLI0258,PRD0111,2,237.06,474.12,2024-03-14,livrée,Virement,Occitanie
CMD-Q1-00211,CLI0040,PRD0033,1,291.53,291.53,2024-02-01,annulée,CB,Île-de-France
CMD-Q1-00212,CLI0323,PRD0025,2,111.14,222.28,2024-03-02,livrée,Virement,PACA
CMD-Q1-00213,CLI0352,PRD0034,8,36.63,293.04,2024-03-19,en_cours,CB,Nouvelle-Aquitaine
CMD-Q1-00214,CLI0262,PRD0010,5,81.94,409.7,2024-01-13,livrée,CB,Auvergne-RA
CMD-Q1-00215,CLI0053,PRD0039,6,29.83,178.98,2024-03-30,livrée,CB,Île-de-France
CMD-Q1-00216,CLI0080,PRD0052,7,118.68,830.76,2024-01-07,livrée,PayPal,Île-de-France
CMD-Q1-00217,CLI0493,PRD0098,8,37.93,303.44,2024-03-17,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00218,CLI0170,PRD0020,1,304.72,304.72,2024-01-12,livrée,CB,PACA
CMD-Q1-00219,CLI0099,PRD0115,9,374.29,3368.61,2024-02-16,livrée,Virement,PACA
CMD-Q1-00220,CLI0298,PRD0081,1,49.36,49.36,2024-03-16,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00221,CLI0392,PRD0120,3,107.93,323.79,2024-02-07,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00222,CLI0402,PRD0103,9,57.7,519.3,2024-03-19,livrée,PayPal,PACA
CMD-Q1-00223,CLI0382,PRD0096,9,33.23,299.07,2024-03-30,livrée,Virement,Auvergne-RA
CMD-Q1-00224,CLI0278,PRD0046,6,69.9,419.4,2024-03-04,livrée,Virement,Occitanie
CMD-Q1-00225,CLI0113,PRD0122,7,108.11,756.77,2024-03-02,livrée,Virement,Île-de-France
CMD-Q1-00226,CLI0402,PRD0084,3,410.52,1231.56,2024-02-14,livrée,CB,PACA
CMD-Q1-00227,CLI0145,PRD0101,2,52.8,105.6,2024-02-23,en_cours,Virement,PACA
CMD-Q1-00228,CLI0396,PRD0113,7,82.62,578.34,2024-01-10,en_cours,CB,Île-de-France
CMD-Q1-00229,CLI0280,PRD0122,7,108.11,756.77,2024-01-11,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00230,CLI0159,PRD0075,2,71.64,143.28,2024-03-02,en_cours,Virement,Île-de-France
CMD-Q1-00231,CLI0428,PRD0149,1,123.18,123.18,2024-01-19,livrée,CB,Occitanie
CMD-Q1-00232,CLI0157,PRD0107,6,101.48,608.88,2024-03-06,livrée,CB,Île-de-France
CMD-Q1-00233,CLI9935,PRD0018,6,121.33,727.98,2024-01-11,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00234,CLI0145,PRD0053,5,79.12,395.6,2024-03-26,livrée,CB,Occitanie
CMD-Q1-00235,CLI0056,PRD0014,7,415.81,2910.67,2024-03-21,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00236,CLI0046,PRD0150,2,81.48,162.96,2024-01-13,livrée,CB,PACA
CMD-Q1-00237,CLI0177,PRD0040,1,71.91,71.91,2024-03-25,livrée,CB,PACA
CMD-Q1-00238,CLI0155,PRD0023,7,163.48,1144.36,2024-02-27,livrée,CB,Île-de-France
CMD-Q1-00239,CLI0193,PRD0106,6,52.42,314.52,2024-02-29,retournée,CB,PACA
CMD-Q1-00240,CLI0184,PRD0058,9,118.62,1067.58,2024-01-24,livrée,Virement,Occitanie
CMD-Q1-00241,CLI0138,PRD0092,4,159.37,637.48,2024-02-07,livrée,Chèque,Auvergne-RA
CMD-Q1-00242,CLI0065,PRD0139,5,128.88,644.4,2024-02-03,livrée,Chèque,Occitanie
CMD-Q1-00243,CLI0270,PRD0024,1,20.71,20.71,2024-02-05,livrée,CB,Occitanie
CMD-Q1-00244,CLI0029,PRD0043,3,100.34,301.02,2024-02-06,livrée,CB,Auvergne-RA
CMD-Q1-00245,CLI0056,PRD0129,3,124.46,373.38,2024-01-02,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00246,CLI0452,PRD0045,8,55.24,441.92,2024-01-09,livrée,Virement,Nouvelle-Aquitaine
CMD-Q1-00247,CLI9973,PRD0115,1,374.29,374.29,2024-03-23,en_cours,CB,Auvergne-RA
CMD-Q1-00248,CLI0037,PRD0132,8,66.14,529.12,2024-01-04,en_cours,CB,Occitanie
