commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,moyen_paiement,region_livraison,devise
CMD-Q2-00071,CLI0392,PRD0102,6,23.26,139.56,2024-05-28,livrée,CB,Île-de-France,EUR
CMD-Q2-00072,CLI0450,PRD0056,6,46.62,279.72,2024-06-26,en_cours,PayPal,Île-de-France,EUR
CMD-Q2-00073,CLI0237,PRD0013,4,59.14,236.56,2024-04-30,retournée,Virement,PACA,EUR
CMD-Q2-00074,CLI0062,PRD0136,7,54.7,382.9,2024-06-21,en_cours,CB,Île-de-France,EUR
CMD-Q2-00075,CLI0475,PRD0004,1,42.82,42.82,2024-05-09,livrée,PayPal,Île-de-France,EUR
CMD-Q2-00076,CLI0131,PRD0039,4,29.83,119.32,2024-04-13,retournée,CB,PACA,EUR
CMD-Q2-00077,CLI0135,PRD0072,2,121.78,243.56,2024-04-22,annulée,Virement,Auvergne-RA,EUR
CMD-Q2-00078,CLI0191,PRD0097,5,149.62,748.1,2024-06-02,retournée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00079,CLI0204,PRD0045,1,55.24,55.24,2024-04-06,retournée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00080,CLI0366,PRD0065,8,352.58,2820.64,2024/04/08,livrée,Virement,PACA,EUR
CMD-Q2-00081,CLI0190,PRD0008,1,308.27,308.27,2024-06-19,livrée,Virement,Auvergne-RA,EUR
CMD-Q2-00082,CLI0175,PRD0146,4,30.77,123.08,2024-06-11,livrée,CB,Île-de-France,EUR
CMD-Q2-00083,CLI0338,PRD0101,3,52.8,158.4,2024-06-24,livrée,CB,PACA,EUR
CMD-Q2-00084,CLI0166,PRD0085,6,181.81,1090.86,2024-05-28,livrée,CB,PACA,EUR
CMD-Q2-00085,CLI0290,PRD0136,9,54.7,492.3,2024-06-19,en_cours,CB,Île-de-France,EUR
CMD-Q2-00086,CLI0360,PRD0084,7,410.52,2873.64,2024-04-28,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00087,CLI0096,PRD0067,4,126.77,507.08,2024-04-16,livrée,Virement,PACA,EUR
CMD-Q2-00088,CLI0359,PRD0100,3,62.84,188.52,2024-05-01,livrée,CB,Île-de-France,EUR
CMD-Q2-00089,CLI0274,PRD0064,5,107.08,535.4,2024-05-02,livrée,CB,Occitanie,EUR
CMD-Q2-00090,CLI0007,PRD0031,9,152.91,1376.19,2024-04-12,livrée,Virement,Occitanie,EUR
CMD-Q2-00091,CLI0277,PRD0001,9,57.96,521.64,2024-05-14,livrée,Virement,Occitanie,EUR
CMD-Q2-00092,CLI0170,PRD0036,8,211.79,1694.32,2024-04-20,livrée,CB,Occitanie,EUR
CMD-Q2-00093,CLI0014,PRD0082,3,36.44,109.32,2024-04-14,livrée,PayPal,Île-de-France,EUR
CMD-Q2-00094,CLI0218,PRD0013,3,59.14,177.42,2024-06-12,livrée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00095,CLI0088,PRD0149,8,123.18,985.44,2024-04-24,livrée,CB,Île-de-France,EUR
CMD-Q2-00096,CLI0313,PRD0117,0,69.72,69.72,2024-05-20,livrée,CB,Occitanie,EUR
CMD-Q2-00097,CLI0264,PRD0100,9,62.84,565.56,2024-05-28,en_cours,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00098,CLI0250,PRD0121,5,34.92,174.6,2024-06-17,annulée,CB,Auvergne-RA,EUR
CMD-Q2-00099,CLI0089,PRD0058,5,118.62,593.1,2024-05-15,en_cours,CB,Auvergne-RA,EUR
CMD-Q2-00100,CLI0009,PRD0129,5,124.46,622.3,2024-04-03,annulée,CB,PACA,EUR
CMD-Q2-00101,CLI0130,PRD0039,2,29.83,59.66,2024-05-07,retournée,CB,PACA,EUR
CMD-Q2-00102,CLI0126,PRD0148,5,70.91,354.55,2024-05-24,en_cours,CB,Île-de-France,EUR
CMD-Q2-00103,CLI0204,PRD0118,9,76.42,687.78,2024-04-13,livrée,Virement,Occitanie,EUR
CMD-Q2-00104,CLI0145,PRD0018,2,121.33,242.66,2024-05-09,en_cours,CB,Occitanie,EUR
CMD-Q2-00105,CLI0304,PRD0017,6,222.33,1333.98,2024-05-25,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00106,CLI9968,PRD0142,2,137.33,274.66,2024-05-19,livrée,PayPal,PACA,EUR
CMD-Q2-00107,CLI0446,PRD0080,2,131.51,263.02,2024-06-14,livrée,PayPal,Occitanie,EUR
CMD-Q2-00108,CLI0491,PRD0096,4,33.23,132.92,2024-05-07,livrée,PayPal,Occitanie,EUR
CMD-Q2-00109,CLI0471,PRD0074,6,101.69,610.14,2024-04-04,livrée,CB,Île-de-France,EUR
CMD-Q2-00110,CLI0316,PRD0059,1,117.97,117.97,2024-05-19,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00111,CLI0372,PRD0025,9,111.14,1000.26,2024-04-07,livrée,CB,Occitanie,EUR
CMD-Q2-00112,CLI0433,PRD0130,9,186.38,1677.42,2024-06-17,en_cours,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00113,CLI0336,PRD0038,9,45.83,412.47,2024-04-26,livrée,CB,PACA,EUR
CMD-Q2-00114,CLI0086,PRD0132,1,66.14,66.14,2024-06-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00115,CLI0195,PRD0032,3,109.17,327.51,2024-06-16,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00116,CLI0323,PRD0118,2,76.42,152.84,2024-04-28,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00117,CLI0109,PRD0078,2,217.49,434.98,2024-05-18,livrée,CB,Occitanie,EUR
CMD-Q2-00118,CLI0398,PRD0084,6,410.52,2463.12,2024-05-26,annulée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00119,CLI0287,PRD0003,2,83.45,166.9,2024-05-22,livrée,Chèque,Occitanie,EUR
CMD-Q2-00120,CLI0287,PRD0133,8,55.03,440.24,2024-05-18,annulée,CB,Auvergne-RA,EUR
CMD-Q2-00121,CLI0169,PRD0049,5,65.78,328.9,2024-04-22,livrée,PayPal,Occitanie,EUR
CMD-Q2-00122,CLI0453,PRD0047,9,68.36,615.24,2024-06-18,livrée,CB,PACA,EUR
CMD-Q2-00123,CLI0332,PRD0053,1,79.12,79.12,2024-05-14,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00124,CLI0430,PRD0123,8,71.91,575.28,2024-05-13,retournée,PayPal,Île-de-France,EUR
CMD-Q2-00125,CLI0234,PRD0042,2,126.36,252.72,2024-05-14,retournée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00126,CLI0066,PRD0075,2,71.64,143.28,2024-04-10,livrée,Virement,Occitanie,EUR
CMD-Q2-00127,CLI0083,PRD0012,3,295.77,887.31,2024-04-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00128,CLI0366,PRD0134,7,487.38,3411.66,2024-06-11,livrée,Virement,PACA,EUR
CMD-Q2-00129,CLI0161,PRD0116,5,52.36,261.8,2024-06-09,livrée,CB,Île-de-France,EUR
CMD-Q2-00130,CLI0432,PRD0115,6,374.29,2245.74,2024-04-22,en_cours,Virement,Île-de-France,EUR
CMD-Q2-00131,CLI0225,PRD0087,8,72.84,582.72,2024-04-29,livrée,Chèque,Occitanie,EUR
CMD-Q2-00132,CLI0219,PRD0089,9,93.09,837.81,2024-06-13,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00133,CLI0263,PRD0006,1,79.23,79.23,2024-05-21,livrée,CB,Occitanie,EUR
CMD-Q2-00134,CLI0109,PRD0008,2,308.27,616.54,2024-05-28,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00135,CLI0255,PRD0007,2,290.01,580.02,2024-04-27,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00136,CLI0322,PRD0074,7,101.69,711.83,2024-05-07,en_cours,CB,Île-de-France,EUR
CMD-Q2-00137,CLI0082,PRD0057,3,85.5,256.5,2024-05-06,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00138,CLI0463,PRD0059,6,117.97,707.82,2024-06-18,livrée,Virement,PACA,EUR
CMD-Q2-00139,CLI0231,PRD0054,8,124.37,994.96,2024/04/23,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00140,CLI0072,PRD0080,7,131.51,920.57,2024-06-19,retournée,PayPal,Auvergne-RA,EUR
CMD-Q2-00141,CLI0399,PRD0009,3,58.82,176.46,2024-06-22,livrée,Virement,Occitanie,EUR
CMD-Q2-00142,CLI0197,PRD0103,5,57.7,288.5,2024-05-15,livrée,Chèque,Auvergne-RA,EUR
CMD-Q2-00143,CLI0198,PRD0067,6,126.77,760.62,2024-06-19,livrée,Virement,Île-de-France,EUR
CMD-Q2-00144,CLI0032,PRD0138,9,67.74,609.66,2024-06-18,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00145,CLI0222,PRD0076,8,211.08,1688.64,2024-04-05,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00146,CLI0067,PRD0127,2,63.31,126.62,2024-05-03,livrée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00147,CLI0116,PRD0066,1,181.07,181.07,2024-04-10,livrée,CB,Île-de-France,EUR
CMD-Q2-00148,CLI0252,PRD0047,2,68.36,136.72,2024-04-09,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00149,CLI0192,PRD0020,8,304.72,2437.76,2024-04-17,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00150,CLI0211,PRD0139,2,128.88,257.76,2024-06-02,retournée,Virement,Île-de-France,EUR
CMD-Q2-00151,CLI0066,PRD0110,9,126.57,1139.13,2024-04-30,livrée,CB,Île-de-France,EUR
CMD-Q2-00152,CLI0319,PRD0006,6,79.23,475.38,2024-06-16,livrée,Chèque,Auvergne-RA,EUR
CMD-Q2-00153,CLI0378,PRD0033,5,291.53,1457.65,2024-05-14,livrée,CB,Île-de-France,EUR
CMD-Q2-00154,CLI0287,PRD0062,7,51.87,363.09,2024-06-02,livrée,Virement,Île-de-France,EUR
CMD-Q2-00155,CLI0193,PRD0133,6,55.03,330.18,2024-05-20,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00156,CLI0218,PRD0017,4,222.33,889.32,2024-05-06,annulée,PayPal,Auvergne-RA,EUR
CMD-Q2-00157,CLI0162,PRD0044,2,146.42,292.84,2024-04-21,livrée,CB,Île-de-France,EUR
CMD-Q2-00158,CLI0437,PRD0032,8,109.17,873.36,2024-05-23,annulée,CB,Occitanie,EUR
CMD-Q2-00159,CLI0033,PRD0023,8,163.48,1307.84,2024-04-29,en_cours,CB,PACA,EUR
CMD-Q2-00160,CLI0468,PRD0144,7,212.05,1484.35,2024-05-05,retournée,CB,PACA,EUR
CMD-Q2-00161,CLI0353,PRD0043,8,100.34,802.72,2024-06-22,livrée,Chèque,PACA,EUR
CMD-Q2-00162,CLI0173,PRD0054,1,124.37,124.37,2024-04-25,annulée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00163,CLI0238,PRD0040,7,71.91,503.37,2024-04-09,livrée,CB,Île-de-France,EUR
CMD-Q2-00164,CLI0061,PRD0077,9,151.78,1366.02,2024-06-06,livrée,Chèque,Auvergne-RA,EUR
CMD-Q2-00165,CLI0069,PRD0120,4,107.93,431.72,2024-04-17,annulée,CB,Auvergne-RA,EUR
CMD-Q2-00166,CLI0441,PRD0070,1,28.37,28.37,2024-05-06,livrée,CB,Occitanie,EUR
CMD-Q2-00167,CLI0118,PRD0124,9,55.52,499.68,2024-04-12,annulée,Virement,Auvergne-RA,EUR
CMD-Q2-00168,CLI0073,PRD0023,6,163.48,980.88,2024-04-28,livrée,CB,PACA,EUR
CMD-Q2-00169,CLI0082,PRD0099,1,182.41,182.41,2024-05-31,livrée,CB,Occitanie,EUR
CMD-Q2-00170,CLI0498,PRD0081,3,49.36,148.08,2024-04-30,retournée,CB,Auvergne-RA,EUR
CMD-Q2-00171,CLI0337,PRD0108,8,100.76,,2024-06-15,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00172,CLI0279,PRD0066,9,181.07,1629.63,2024-05-31,livrée,PayPal,PACA,EUR
CMD-Q2-00173,CLI0170,PRD0027,9,45.84,412.56,2024-05-25,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00174,CLI0269,PRD0147,9,56.16,505.44,2024-06-14,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00175,CLI9993,PRD0046,8,69.9,559.2,2024-05-18,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00176,CLI0422,PRD0100,9,62.84,565.56,2024-04-07,en_cours,CB,PACA,EUR
CMD-Q2-00177,CLI0201,PRD0116,4,52.36,209.44,2024-04-05,livrée,CB,Occitanie,EUR
CMD-Q2-00178,CLI0370,PRD0084,6,410.52,2463.12,2024-04-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00179,CLI0046,PRD0079,7,400.46,2803.22,2024-05-07,livrée,Virement,PACA,EUR
CMD-Q2-00180,CLI0043,PRD0150,8,81.48,651.84,2024-05-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00181,CLI0010,PRD0099,1,182.41,182.41,2024-06-22,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00182,CLI0012,PRD0133,6,55.03,330.18,2024-04-04,livrée,CB,PACA,EUR
CMD-Q2-00183,CLI0236,PRD0033,5,291.53,1457.65,2024-06-09,livrée,Virement,Occitanie,EUR
CMD-Q2-00184,CLI0051,PRD0010,4,81.94,327.76,2024-04-14,en_cours,PayPal,Auvergne-RA,EUR
CMD-Q2-00185,CLI0424,PRD0065,6,352.58,2115.48,2024-04-25,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00186,CLI0205,PRD0063,8,86.81,694.48,2024-06-24,livrée,CB,Île-de-France,EUR
CMD-Q2-00187,CLI0004,PRD0082,2,36.44,72.88,2024-06-04,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00188,CLI0433,PRD0077,3,151.78,455.34,2024/04/21,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00189,CLI0348,PRD0143,4,104.0,416.0,2024-06-11,livrée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00190,CLI0386,PRD0107,7,101.48,710.36,2024-06-11,livrée,Chèque,PACA,EUR
CMD-Q2-00191,CLI0395,PRD0006,4,79.23,316.92,2024-06-08,en_cours,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00192,CLI0081,PRD0072,3,121.78,365.34,2024-06-04,annulée,CB,Auvergne-RA,EUR
CMD-Q2-00193,CLI0332,PRD0109,3,18.3,54.9,2024-04-26,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00194,CLI0224,PRD0023,7,163.48,1144.36,2024-05-12,en_cours,CB,PACA,EUR
CMD-Q2-00195,CLI0215,PRD0100,6,62.84,377.04,2024-04-29,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00196,CLI0434,PRD0034,7,36.63,256.41,2024-06-08,livrée,CB,Île-de-France,EUR
CMD-Q2-00197,CLI0220,PRD0003,4,83.45,333.8,2024-04-05,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00198,CLI0041,PRD0002,2,135.96,271.92,2024-06-26,livrée,CB,Île-de-France,EUR
CMD-Q2-00199,CLI0074,PRD0049,3,65.78,197.34,2024-06-25,livrée,Chèque,PACA,EUR
CMD-Q2-00200,CLI0475,PRD0078,7,217.49,1522.43,2024-06-25,livrée,Virement,Île-de-France,EUR
CMD-Q2-00201,CLI0305,PRD0035,8,17.54,140.32,2024-06-06,livrée,Virement,Occitanie,EUR
CMD-Q2-00202,CLI0177,PRD0045,1,55.24,55.24,2024-04-19,livrée,Chèque,Auvergne-RA,EUR
CMD-Q2-00203,CLI0150,PRD0102,6,23.26,139.56,2024-06-24,en_cours,CB,Auvergne-RA,EUR
CMD-Q2-00204,CLI0152,PRD0028,8,59.7,477.6,2024-04-05,livrée,Virement,PACA,EUR
CMD-Q2-00205,CLI0143,PRD0101,4,52.8,211.2,2024-05-04,livrée,CB,PACA,EUR
CMD-Q2-00206,CLI0434,PRD0055,2,45.75,91.5,2024-04-22,en_cours,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00207,CLI0254,PRD0136,0,54.7,492.3,2024-04-28,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00208,CLI0336,PRD0004,3,42.82,128.46,2024-06-06,annulée,PayPal,Occitanie,EUR
CMD-Q2-00209,CLI0323,PRD0055,9,45.75,411.75,2024-04-24,livrée,CB,Occitanie,EUR
CMD-Q2-00210,CLI0098,PRD0089,3,93.09,279.27,2024-04-01,en_cours,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00211,CLI0161,PRD0136,6,54.7,328.2,2024-04-04,livrée,CB,PACA,EUR
CMD-Q2-00212,CLI0136,PRD0107,4,101.48,405.92,2024-04-26,annulée,CB,Auvergne-RA,EUR
CMD-Q2-00213,CLI0042,PRD0038,6,45.83,274.98,2024-05-12,livrée,Virement,Auvergne-RA,EUR
CMD-Q2-00214,CLI0487,PRD0110,8,126.57,1012.56,2024-05-13,retournée,Virement,Île-de-France,EUR
CMD-Q2-00215,CLI0088,PRD0051,1,10.76,10.76,2024-05-09,livrée,Chèque,Occitanie,EUR
CMD-Q2-00216,CLI0170,PRD0118,7,76.42,534.94,2024-06-29,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00217,CLI0184,PRD0139,7,128.88,902.16,2024-05-14,livrée,CB,Occitanie,EUR
CMD-Q2-00218,CLI0466,PRD0104,2,81.27,162.54,2024-05-30,retournée,Virement,Auvergne-RA,EUR
CMD-Q2-00219,CLI0309,PRD0139,3,128.88,386.64,2024-04-20,annulée,PayPal,Auvergne-RA,EUR
CMD-Q2-00220,CLI0343,PRD0018,6,121.33,727.98,2024-05-01,livrée,CB,Occitanie,EUR
CMD-Q2-00221,CLI0251,PRD0113,9,82.62,743.58,2024-04-16,livrée,PayPal,PACA,EUR
CMD-Q2-00222,CLI0252,PRD0061,5,75.83,379.15,2024-06-25,livrée,CB,PACA,EUR
CMD-Q2-00223,CLI0030,PRD0077,3,151.78,455.34,2024-04-28,livrée,CB,Occitanie,EUR
CMD-Q2-00224,CLI0341,PRD0083,4,173.76,695.04,2024-05-30,en_cours,CB,Auvergne-RA,EUR
CMD-Q2-00225,CLI0424,PRD0024,6,20.71,124.26,2024-04-27,livrée,CB,Occitanie,EUR
CMD-Q2-00226,CLI0265,PRD0074,3,101.69,305.07,2024-04-13,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00227,CLI0336,PRD0134,5,487.38,2436.9,2024-06-26,livrée,CB,PACA,EUR
CMD-Q2-00228,CLI0156,PRD0117,7,69.72,488.04,2024-06-10,livrée,Virement,Île-de-France,EUR
CMD-Q2-00229,CLI0001,PRD0123,3,71.91,215.73,2024-06-22,annulée,Virement,Île-de-France,EUR
CMD-Q2-00230,CLI0395,PRD0035,5,17.54,87.7,2024-06-07,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00231,CLI0069,PRD0105,4,408.15,1632.6,2024-05-22,annulée,CB,PACA,EUR
CMD-Q2-00232,CLI0038,PRD0016,2,87.66,175.32,2024-06-20,livrée,CB,Auvergne-RA,EUR
