,id_mutation,date_mutation,nature_mutation,valeur_fonciere,commune,surface_reelle_bati,nombre_pieces_principales,type_local,code_postal,longitude,latitude,code_departement
13,2023A00013,2023-01-02,Vente,371506.5611214726,Marseille,110.58377215120966,2.0,Appartement,13001.0,-2.328707010319338,45.458013806853046,13
14,2023A00014,2023-01-02,Vente,219097.76719223283,Lyon,70.39580411380825,1.0,Maison,69001.0,3.8648036237092693,49.98992715900001,69
15,2023A00015,2023-01-02,Vente,268696.8236338143,Toulouse,125.38048674565484,4.0,Appartement,31000.0,7.291183115018265,42.591056557995586,31
16,2023A00016,2023-01-02,Vente,227570.133817334,Paris,102.46512553814871,1.0,Appartement,75001.0,5.189786632051163,47.00600558274985,75
17,2023A00017,2023-01-02,Vente,203957.8994756025,Marseille,35.037492618568876,5.0,Maison,13001.0,1.5626432622166977,44.15026348131613,13
18,2023A00018,2023-01-02,Vente,177465.75174529373,Lyon,89.56596807148884,1.0,Local industriel,69001.0,0.6314514844029198,45.53974456479312,69
19,2023A00019,2023-01-02,Vente,355263.1503038501,Montpellier,117.05590556732187,4.0,Maison,34000.0,0.4080179374271262,44.058038232458884,34
20,2023A00020,2023-01-02,Vente,589107.257861745,Nantes,117.49626738714382,2.0,Maison,44000.0,,42.632840284028624,44
21,2023A00021,2023-01-02,Vente,541804.8623347277,Marseille,89.48293992858649,2.0,Appartement,13001.0,0.062102368595611246,45.9653067789233,13
22,2023A00022,2023-01-02,Vente,126255.23333447395,Bordeaux,,5.0,Appartement,33000.0,-1.6282509659032924,49.24498658651679,33
23,2023A00023,2023-01-02,Vente,581590.4767517503,Paris,46.93057951192033,4.0,Appartement,75001.0,3.1561049135099024,50.67719900711664,75
24,2023A00024,2023-01-03,Vente,221705.43247584405,Toulouse,35.920528544821,2.0,Local industriel,31000.0,0.46195875053017854,47.78990617656811,31
25,2023A00025,2023-01-03,Vente,384784.92048897385,Bordeaux,45.78201555587738,2.0,Appartement,33000.0,-4.3206146698733106,45.72176641270395,33
26,2023A00026,2023-01-03,Vente,155791.02436393301,Montpellier,23.75054551533539,4.0,Maison,34000.0,-4.217664857701964,49.07472640721626,34
27,2023A00027,2023-01-03,Vente,292198.29648646567,Marseille,106.84697361765754,4.0,Maison,13001.0,-1.0184650383388871,46.74597105417715,13
28,2023A00028,2023-01-03,Vente,323914.1886138096,Lyon,47.387264932457875,4.0,Maison,69001.0,2.007761933737169,45.53505846303782,69
29,2023A00029,2023-01-03,Vente,110110.21798945013,Paris,104.13262889819345,3.0,Appartement,75001.0,-0.0011582526165430096,43.87598929446617,75
30,2023A00030,2023-01-03,Vente,386528.27459017193,Nantes,29.49586875658218,2.0,Maison,44000.0,-4.1944995646780905,49.3059438621661,44
31,2023A00031,2023-01-03,Vente,601728.1262180224,Toulouse,93.81384632292585,5.0,Maison,31000.0,-1.6659726003338466,46.70374695654974,31
32,2023A00032,2023-01-03,Vente,241641.67658589428,Lyon,42.63006139292344,4.0,Appartement,69001.0,-3.2754747798323756,50.78147292353736,69
33,2023A00033,2023-01-03,VEFA,606888.8129168677,Toulouse,28.726363668744664,3.0,Appartement,31000.0,7.54762641728999,49.356804483068736,31
34,2023A00034,2023-01-03,VEFA,239470.11420365152,Nantes,123.16920076804239,3.0,Maison,44000.0,-0.5270072395177139,45.996141848452034,44
35,2023A00035,2023-01-03,Vente,446748.34059769433,Strasbourg,94.97900191260726,3.0,Appartement,67000.0,-4.3124670807372025,48.81948035963362,67
36,2023A00036,2023-01-04,Vente,70888.11162757757,Paris,60.697117548507,,Appartement,75001.0,3.8891533002179273,46.289845137098226,75
37,2023A00037,2023-01-04,Vente,1145402.5068780822,Marseille,55.5325281892949,4.0,Maison,13001.0,-1.5479111555507226,43.00281841004553,13
38,2023A00038,2023-01-04,Vente,658207.1294335364,Toulouse,68.01681876746527,5.0,Appartement,31000.0,2.697550438893752,46.84679325371232,31
39,2023A00039,2023-01-04,Vente,226211.27743317286,Paris,60.178448444606,3.0,Maison,75001.0,-2.5855327264595047,49.918411851900515,75
40,2023A00040,2023-01-04,Vente,82186.5205494129,Toulouse,36.73985095079879,3.0,Appartement,31000.0,7.9969680860553005,49.82788360294975,31
41,2023A00041,2023-01-04,Vente,318958.7365789953,Lyon,44.43261914393255,5.0,,69001.0,7.822291669379728,47.35970884003178,69
42,2023A00042,2023-01-04,Vente,112830.80466392111,Toulouse,145.52660411076837,2.0,Appartement,31000.0,3.8309885664668837,45.64420712045068,31
43,2023A00043,2023-01-04,Vente,350428.5533286486,Strasbourg,207.69660214550777,3.0,Maison,67000.0,4.481473297140171,42.38888530033127,67
44,2023A00044,2023-01-04,Vente,343498.9835348627,Lyon,119.26337139909737,3.0,Maison,69001.0,0.908661919403972,45.04040605466771,69
45,2023A00045,2023-01-04,Vente,152536.33342186717,Lyon,69.34624294904785,5.0,Maison,69001.0,7.719677686810744,51.010315480308066,69
46,2023A00046,2023-01-04,Vente,525749.5376575879,Paris,,1.0,Maison,75001.0,0.8814931787142513,48.69312109297835,75
47,2023A00047,2023-01-04,Vente,435105.9404499458,Bordeaux,36.6314460439749,2.0,Maison,33000.0,-1.4587564329176352,48.61477936166055,33
48,2023A00048,2023-01-05,Vente,481901.0118680403,Nantes,37.85862377629462,2.0,Maison,44000.0,-3.034691658030419,48.997533834919494,44
49,2023A00049,2023-01-05,Vente,269767.1941650524,Toulouse,41.40353114935296,2.0,Appartement,31000.0,-1.8568086860073034,47.75699777340911,31
50,2023A00050,2023-01-05,VEFA,114770.01780967286,Marseille,160.06532620900032,2.0,Appartement,13001.0,2.76711149989477,47.45555618314007,13
51,2023A00051,2023-01-05,Vente,482493.80646010727,Montpellier,134.71226698372647,3.0,Appartement,34000.0,-1.3873351821709021,46.29184944718925,34
52,2023A00052,2023-01-05,VEFA,228154.23773463926,Lyon,79.29215494779908,5.0,Maison,69001.0,3.8089677412838174,46.20661914429324,69
53,2023A00053,2023-01-05,Vente,116556.55840878667,Bordeaux,33.77407214416599,3.0,Appartement,33000.0,0.3537434025400925,49.96346640784735,33
54,2023A00054,2023-01-05,Vente,603936.0655552811,Lyon,85.33015963611278,2.0,Maison,69001.0,6.763285898799001,45.76241510293167,69
55,2023A00055,2023-01-05,VEFA,945665.8034423158,Bordeaux,48.4577113055147,5.0,Maison,33000.0,2.592671456812832,49.694567699795954,33
56,2023A00056,2023-01-05,Vente,261777.74536840385,Bordeaux,18.606207854956246,3.0,Maison,33000.0,3.407071474386206,49.67206294549945,33
57,2023A00057,2023-01-05,Vente,980161.5585883808,Marseille,63.02618775681135,2.0,Appartement,13001.0,2.5683094980069985,49.0839041542053,13
58,2023A00058,2023-01-05,Vente,283449.3813467753,Bordeaux,35.839243478493096,2.0,Maison,33000.0,6.746723432226007,42.63125311879833,33
59,2023A00059,2023-01-05,Vente,213571.39477344925,Marseille,36.4511601126228,4.0,Appartement,13001.0,-3.69457148729927,43.602155750751855,13
60,2023A00060,2023-01-06,Vente,183822.32176725566,Paris,48.172870178088615,4.0,Maison,75001.0,-3.644671419947537,45.06940525124133,75
61,2023A00061,2023-01-06,Vente,716583.0604517246,Lyon,42.55675145514916,3.0,Local industriel,69001.0,4.412101110544304,49.75829341188344,69
62,2023A00062,2023-01-06,Vente,168032.66452246343,Marseille,53.670934094723,1.0,Appartement,13001.0,5.2531415560118635,49.98468255593426,13
63,2023A00063,2023-01-06,Vente,417133.4968941413,Nantes,,4.0,Appartement,44000.0,1.0065856121809915,42.66570419032833,44
64,2023A00064,2023-01-06,Vente,191856.25504303386,Strasbourg,21.372294924535552,2.0,Maison,67000.0,-0.02572385771085539,45.15757606753167,67
65,2023A00065,2023-01-06,Vente,203580.32887338335,Lyon,,4.0,Appartement,69001.0,-0.9700976591912531,49.78338100081502,69
66,2023A00066,2023-01-06,Vente,497897.6517853922,Strasbourg,33.391842663638364,3.0,Appartement,67000.0,-1.523184949913944,44.4973005915101,67
67,2023A00067,2023-01-06,Vente,213625.10079011382,Nantes,33.913080907438705,2.0,Maison,44000.0,7.081874088918285,50.888829098054764,44
68,2023A00068,2023-01-06,Vente,210475.12884061827,Toulouse,46.326927249654425,2.0,Appartement,31000.0,-0.7517277612131101,46.60587314586904,31
69,2023A00069,2023-01-06,Adjudication,,Nantes,51.71938052284286,1.0,Appartement,44000.0,3.7306007068021962,,44
70,2023A00070,2023-01-06,Vente,699721.9885572265,Paris,,2.0,,75001.0,5.496103710872001,46.07367227041431,75
71,2023A00071,2023-01-06,Vente,395068.27694473404,Toulouse,62.47157954405653,2.0,Appartement,31000.0,-4.221024453715723,45.149430558371144,31
72,2023A00072,2023-01-07,Vente,181160.40524730808,Toulouse,72.4743526016213,3.0,Maison,31000.0,-4.06979829648353,45.4892095418379,31
73,2023A00073,2023-01-07,Vente,197527.85679125672,Bordeaux,62.63148417662341,3.0,Maison,33000.0,-0.2691549611054098,50.081845126269926,33
74,2023A00074,2023-01-07,Vente,281517.2935497032,Nantes,61.296993204977404,3.0,Appartement,44000.0,4.33939995278403,45.210066599337324,44
75,2023A00075,2023-01-07,Vente,325317.86749362154,Montpellier,63.74334277606309,3.0,Maison,34000.0,-1.187857332168159,48.19024674884545,34
76,2023A00076,2023-01-07,Vente,148342.7055423923,Bordeaux,20.772560908352386,4.0,Appartement,33000.0,-4.481162211510422,46.43461560269634,33
77,2023A00077,2023-01-07,Vente,414083.433935496,Nantes,48.18466214131101,5.0,Appartement,44000.0,-0.8405216707122545,50.58670646079626,44
78,2023A00078,2023-01-07,Vente,282464.4547571808,Toulouse,97.62470196360415,2.0,Maison,31000.0,-3.355338628627388,43.702398554226036,31
79,2023A00079,2023-01-07,Vente,95853.37976349372,Montpellier,391.9622387391324,3.0,Appartement,34000.0,-1.7134510164374954,46.07218010489621,34
80,2023A00080,2023-01-07,Vente,153682.50701475554,Bordeaux,,1.0,Appartement,33000.0,-0.2684869911189205,43.39677754474747,33
81,2023A00081,2023-01-07,Vente,198297.31926013113,Strasbourg,67.46034745555902,,Maison,67000.0,-2.873671590626852,47.38762620924966,67
82,2023A00082,2023-01-07,Vente,256859.7221619625,Lyon,41.03710720057856,4.0,Maison,69001.0,4.470832038585282,45.84551288377508,69
83,2023A00083,2023-01-07,Vente,833648.6230729301,Montpellier,151.99170575383252,3.0,Appartement,34000.0,-1.2498130535214087,42.83624764586286,34
84,2023A00084,2023-01-08,Vente,309558.6287449136,Nantes,27.746469853236327,4.0,,44000.0,3.895903951173022,49.778575365947425,44
85,2023A00085,2023-01-08,Vente,162030.01357905075,Nantes,74.6245651946128,3.0,Appartement,44000.0,3.1077172308288503,45.60453008922466,44
86,2023A00086,2023-01-08,Vente,306317.8240431221,Bordeaux,27.015058972509294,1.0,Appartement,33000.0,6.905177693710446,46.64395052036408,33
87,2023A00087,2023-01-08,Vente,217237.6840990146,Nantes,46.55882961487077,5.0,Appartement,44000.0,-3.3832487112227008,45.88611735225549,44
88,2023A00088,2023-01-08,Vente,326065.95104921295,Toulouse,,1.0,Maison,31000.0,-1.7744769856814577,46.600143570359705,31
89,2023A00089,2023-01-08,Vente,380157.38317954977,Bordeaux,93.20914515606394,2.0,Maison,33000.0,6.487766048858495,42.44366173947928,33
90,2023A00090,2023-01-08,Vente,554342.7120826646,Bordeaux,31.862079966393132,2.0,Appartement,33000.0,5.941069496098303,49.47604385791018,33
91,2023A00091,2023-01-08,Vente,264455.45462941896,Montpellier,76.07285689402532,,Appartement,34000.0,-2.0602594237879566,45.22431050512606,34
92,2023A00092,2023-01-08,Vente,717391.0128131448,Marseille,55.113178494710546,3.0,Appartement,13001.0,-3.1317526482842233,48.67526352695006,13
93,2023A00093,2023-01-08,Vente,462690.4789472985,Strasbourg,62.57693083304744,3.0,Maison,67000.0,6.37426660067646,42.87100379935396,67
94,2023A00094,2023-01-08,Vente,175524.91420818193,Strasbourg,88.16114713991436,4.0,Appartement,67000.0,-2.23764667832625,46.909662221983204,67
95,2023A00095,2023-01-08,Vente,1010457.1391603169,Marseille,28.752411830960728,3.0,Appartement,13001.0,6.563093267099099,50.29736935422249,13
96,2023A00096,2023-01-09,Vente,326503.74832752784,Montpellier,81.883498461702,4.0,Maison,34000.0,7.706156682097305,45.80458271243245,34
97,2023A00097,2023-01-09,Vente,162579.97241279305,Toulouse,41.081075833350845,3.0,Appartement,31000.0,-1.695755690088986,44.035879288739466,31
98,2023A00098,2023-01-09,Vente,723421.870331648,Lyon,94.43735715918248,6.0,Appartement,69001.0,6.172922518996128,43.17191418261285,69
99,2023A00099,2023-01-09,Vente,933472.2840077919,Nantes,64.53958892314547,4.0,Appartement,44000.0,0.8826548427747403,49.85997407869522,44
100,2023A00100,2023-01-09,Vente,263072.4745340169,Montpellier,49.167646181134266,3.0,Appartement,34000.0,5.517485994369396,44.40149480076463,34
101,2023A00101,2023-01-09,Vente,198354.24827250442,Paris,40.64951949792019,2.0,Maison,75001.0,0.673923370431309,50.88062578118813,75
102,2023A00102,2023-01-09,Vente,241971.4506182885,Nantes,82.40511392429264,5.0,Appartement,44000.0,-3.6059758960817954,44.480840493285584,44
103,2023A00103,2023-01-09,Vente,412024.88892146986,Paris,102.56285629147779,4.0,Maison,75001.0,4.551229962193537,46.53272076253664,75
104,2023A00104,2023-01-09,Vente,577644.549959852,Montpellier,41.82834541008855,3.0,Appartement,34000.0,-2.5862542732245464,46.33034835983267,34
105,2023A00105,2023-01-09,Vente,377865.0493356675,Strasbourg,30.984798619696143,,Maison,67000.0,7.2732186343220775,42.84568465042526,67
106,2023A00106,2023-01-09,Vente,285225.0865995977,Toulouse,77.25452742258511,3.0,Appartement,31000.0,0.8053777943629061,46.98018689439354,31
107,2023A00107,2023-01-09,Vente,659216.3513985802,Lyon,26.462655931327234,2.0,Maison,69001.0,-3.4585981215483397,48.219240621259125,69
108,2023A00108,2023-01-10,Vente,222414.5175916716,Lyon,,2.0,Maison,69001.0,-1.5983038123702715,48.83079383696273,69
109,2023A00109,2023-01-10,Vente,498097.74060298735,Lyon,32.09338269257421,3.0,Local industriel,69001.0,6.453973741839722,46.89880745553617,69
110,2023A00110,2023-01-10,Vente,225745.2253725253,Marseille,44.357187487654855,1.0,,13001.0,-0.4222145357732545,49.4507494530679,13
111,2023A00111,2023-01-10,Vente,347532.60773957585,Toulouse,27.989629187155277,3.0,Appartement,31000.0,6.375365536242056,48.918458016226474,31
112,2023A00112,2023-01-10,VEFA,250662.44218230457,Paris,20.709655593528353,4.0,Maison,75001.0,-2.3119584224197087,44.006973946367545,75
113,2023A00113,2023-01-10,Vente,259493.95600923663,Lyon,30.94705690948152,2.0,Maison,69001.0,1.4463701694316402,45.83409480070686,69
114,2023A00114,2023-01-10,Vente,213965.07709086398,Toulouse,75.28171098397502,,Maison,31000.0,6.653895545690025,43.55472029063665,31
115,2023A00115,2023-01-10,Vente,601337.9803180763,Nantes,28.911168216233165,4.0,Appartement,44000.0,-3.885258629494642,43.474128153184104,44
116,2023A00116,2023-01-10,Vente,172861.22382344346,Paris,46.056327627402375,3.0,Appartement,75001.0,-0.6356797786988202,48.56672072068426,75
117,2023A00117,2023-01-10,Vente,172105.1056409962,Strasbourg,144.51007541582072,2.0,Maison,67000.0,7.0551151858725785,46.96804036492274,67
118,2023A00118,2023-01-10,Vente,957993.3731097176,Marseille,53.27211028264369,4.0,Maison,13001.0,3.0758843618921476,47.588358314607305,13
119,2023A00119,2023-01-10,Vente,482486.6537672468,Bordeaux,64.79740102174645,4.0,Appartement,33000.0,4.59614806398111,48.743221692798784,33
120,2023A00120,2023-01-11,Vente,64146.94722163667,Montpellier,34.02106837767492,2.0,Appartement,34000.0,6.195031170123572,44.73966740302337,34
121,2023A00121,2023-01-11,Vente,191155.92905825065,Montpellier,,2.0,Appartement,34000.0,2.1496746136177824,45.83198523614337,34
122,2023A00122,2023-01-11,Vente,90472.96877136551,Paris,41.65214031595848,2.0,Maison,75001.0,6.236146942974321,47.63986718305586,75
123,2023A00123,2023-01-11,Vente,151688.68642567383,Strasbourg,48.71308392556711,4.0,Appartement,67000.0,3.6123100474887835,43.15033503648158,67
124,2023A00124,2023-01-11,Vente,40818.52086902328,Strasbourg,105.48084146990838,3.0,Appartement,67000.0,4.207760722156477,,67
125,2023A00125,2023-01-11,Vente,247163.72576950837,Strasbourg,49.85570222719984,3.0,Appartement,67000.0,-2.558748419364629,45.32235669286211,67
126,2023A00126,2023-01-11,Vente,135243.8749089024,Nantes,55.921246661498124,5.0,Appartement,44000.0,7.42553913128074,48.097026259506585,44
127,2023A00127,2023-01-11,Vente,278157.60432842124,Paris,47.42529990642142,1.0,Maison,75001.0,5.610271250523429,51.06097113633998,75
128,2023A00128,2023-01-11,Vente,101207.40900529924,Paris,47.58815144225097,1.0,Maison,75001.0,-1.2717108489312015,46.483189519320376,75
129,2023A00129,2023-01-11,Vente,282023.903892255,Bordeaux,65.709992410776,2.0,Appartement,33000.0,2.8659322630647734,44.19242635374407,33
130,2023A00130,2023-01-11,Vente,209200.88323482947,Lyon,71.98599560411843,1.0,Appartement,69001.0,0.2811169917367451,44.20461390928026,69
131,2023A00131,2023-01-11,Vente,660777.0560506791,Nantes,39.58205204739271,4.0,Maison,44000.0,3.887105384885876,42.831310702436625,44
132,2023A00132,2023-01-12,Vente,625817.5269199349,Strasbourg,37.22422548075192,3.0,Maison,67000.0,8.12058490867137,49.05032424876885,67
133,2023A00133,2023-01-12,Vente,,Bordeaux,,2.0,Appartement,33000.0,-3.9190207562757067,44.88219579280984,33
134,2023A00134,2023-01-12,VEFA,220583.53189857645,Paris,27.095644431947346,1.0,Appartement,75001.0,,43.81998671031752,75
135,2023A00135,2023-01-12,Vente,883130.4795738149,Nantes,24.650196467486175,1.0,Appartement,44000.0,-3.580630081775642,48.58052509757659,44
136,2023A00136,2023-01-12,Vente,105680.8342517703,Marseille,63.34421430886686,6.0,Appartement,13001.0,1.3517108751778801,45.02040244444438,13
137,2023A00137,2023-01-12,Vente,115596.9467023079,Paris,,4.0,Appartement,75001.0,1.6227868475366378,47.584126739446624,75
138,2023A00138,2023-01-12,Vente,255181.45008764748,Marseille,84.39622276005271,3.0,Appartement,13001.0,-1.0871994265824316,45.97687068175098,13
139,2023A00139,2023-01-12,VEFA,1037602.0268169284,Toulouse,16.59338900672055,2.0,Maison,31000.0,2.697080932958017,45.240544021181975,31
140,2023A00140,2023-01-12,VEFA,237660.07035543423,Marseille,48.30173379921628,3.0,Appartement,13001.0,6.091344658500562,46.606980440742845,13
141,2023A00141,2023-01-12,Vente,240398.40673775028,Paris,31.467460823622446,1.0,Maison,75001.0,-0.7666802986168313,45.06138050647533,75
142,2023A00142,2023-01-12,Vente,112967.31254479749,Bordeaux,58.666491402631124,7.0,Appartement,33000.0,-3.605857291817852,49.960971288454154,33
143,2023A00143,2023-01-12,Vente,473334.5688546484,Paris,44.304588102584894,4.0,Appartement,75001.0,3.530002998144031,42.94275467894109,75
144,2023A00144,2023-01-13,Vente,475397.1089537225,Paris,,3.0,Maison,75001.0,5.047163140182796,42.56535189953276,75
145,2023A00145,2023-01-13,Vente,430819.772698504,Toulouse,,3.0,Maison,31000.0,7.62244222441009,45.87625864097497,31
146,2023A00146,2023-01-13,Vente,183958.8915776946,Strasbourg,21.157597324278086,3.0,Maison,67000.0,-2.4740369850890365,43.82102398790304,67
147,2023A00147,2023-01-13,Vente,175602.1034886569,Lyon,33.66494417011081,2.0,Appartement,69001.0,6.947270295721028,48.844792804201305,69
148,2023A00148,2023-01-13,Vente,123516.08256336628,Paris,54.75630694547776,2.0,Maison,75001.0,1.6229681603017276,45.41021841436368,75
149,2023A00149,2023-01-13,Vente,282186.50626806106,Toulouse,57.114339493382694,3.0,Appartement,31000.0,-1.5058703897946728,44.60065186702642,31
150,2023A00150,2023-01-13,Vente,140330.49560261256,Bordeaux,27.035791415628445,1.0,Appartement,33000.0,7.726905571492621,45.4625568761849,33
151,2023A00151,2023-01-13,Vente,132395.65395730766,Toulouse,25.32444534025884,1.0,Appartement,31000.0,-1.4719482641886978,44.231458595528224,31
152,2023A00152,2023-01-13,Vente,208102.40512379457,Montpellier,56.15538996254066,3.0,Appartement,34000.0,4.814741158846333,44.93694181519864,34
153,2023A00153,2023-01-13,Vente,200086.74867975456,Toulouse,27.062969300619606,5.0,Appartement,31000.0,5.468062085732441,47.29827051125931,31
154,2023A00154,2023-01-13,Adjudication,194310.5405443095,Marseille,23.7049831788319,5.0,Maison,13001.0,0.9675919657836802,49.903486404434105,13
155,2023A00155,2023-01-13,Vente,354997.75983161276,Lyon,,1.0,Maison,69001.0,4.2628075280322015,45.56365035846767,69
156,2023A00156,2023-01-14,Vente,281370.80841067503,Lyon,,,Maison,69001.0,2.7704588528714877,45.12191163974835,69
157,2023A00157,2023-01-14,Vente,225732.59769675945,Nantes,35.1913305589434,3.0,Appartement,44000.0,-2.0611840440994054,49.17975093207518,44
158,2023A00158,2023-01-14,Vente,299481.449679055,Strasbourg,,4.0,Appartement,67000.0,5.150576102841937,42.49735217531001,67
159,2023A00159,2023-01-14,Vente,148017.2019430713,Bordeaux,54.97716194375034,6.0,Maison,33000.0,7.285805039422716,44.958271663624046,33
160,2023A00160,2023-01-14,Vente,285834.1922614138,Nantes,38.08873420156705,5.0,Appartement,44000.0,1.7057032949330795,46.27910320318926,44
161,2023A00161,2023-01-14,Vente,293713.91540098714,Strasbourg,56.562629492767535,4.0,Maison,67000.0,8.127740226647827,47.58582275627215,67
162,2023A00162,2023-01-14,Vente,108898.53807789247,Strasbourg,45.13986279952323,2.0,Appartement,67000.0,0.9351594818927298,43.673341462052505,67
163,2023A00163,2023-01-14,Vente,487680.7415579221,Toulouse,59.37213910465099,1.0,Appartement,31000.0,1.5926545110271233,46.10911870288656,31
164,2023A00164,2023-01-14,Vente,158124.78469712773,Bordeaux,84.6989142427677,1.0,Appartement,33000.0,4.05849842746516,47.28344410856076,33
165,2023A00165,2023-01-14,Vente,283278.52489068254,Strasbourg,83.06504060690463,3.0,Maison,67000.0,-2.140719168350834,46.7902040345677,67
166,2023A00166,2023-01-14,Vente,539634.3417792885,Bordeaux,103.97029522772179,1.0,Appartement,33000.0,6.954714326329521,47.35604948680981,33
167,2023A00167,2023-01-14,Vente,467617.5568617647,Lyon,83.01932802420211,4.0,Appartement,69001.0,5.676164523671233,48.129104753661395,69
168,2023A00168,2023-01-15,Vente,273922.3724877634,Lyon,61.51485963884837,4.0,Appartement,69001.0,,45.63847948835739,69
169,2023A00169,2023-01-15,Vente,215884.88359289904,Lyon,43.960178110653345,1.0,Appartement,69001.0,3.2413939597019095,42.859994527628736,69
170,2023A00170,2023-01-15,Vente,473784.1632336475,Paris,44.97557382867988,5.0,Maison,75001.0,6.7235991069795595,42.78889528429503,75
171,2023A00171,2023-01-15,Vente,402245.14158567577,Toulouse,,3.0,Maison,31000.0,4.1356505884313,49.85668889377444,31
172,2023A00172,2023-01-15,Vente,185160.99853878331,Montpellier,54.72193560164545,5.0,Maison,34000.0,1.9968234272791463,48.2612891080912,34
173,2023A00173,2023-01-15,Vente,166552.15986391075,Bordeaux,77.37732193101316,5.0,Appartement,33000.0,7.333743210605888,49.02482520615183,33
174,2023A00174,2023-01-15,Vente,77387.99088245774,Toulouse,37.984044826131175,2.0,Maison,31000.0,1.0844410640330668,50.47348065538578,31
175,2023A00175,2023-01-15,Vente,294318.8860690422,Strasbourg,53.59153200787474,2.0,Maison,67000.0,1.857237164746799,48.904790749089614,67
176,2023A00176,2023-01-15,Vente,255347.68166570237,Bordeaux,38.912630352088755,1.0,Maison,33000.0,-2.3467946185002795,48.392251162048154,33
177,2023A00177,2023-01-15,Vente,530574.0564695977,Bordeaux,60.62317011268417,4.0,Appartement,33000.0,7.5352694252087975,48.07067514237633,33
178,2023A00178,2023-01-15,VEFA,332845.28656428464,Nantes,41.484020629896165,3.0,Appartement,44000.0,-1.692629332528718,44.57544578514713,44
179,2023A00179,2023-01-15,Vente,597516.7025786454,Bordeaux,37.72204661400932,5.0,Appartement,33000.0,-1.9420177627658335,50.72418783137851,33
180,2023A00180,2023-01-16,Vente,176589.20938063762,Bordeaux,38.86199001655372,2.0,Maison,33000.0,-3.214828526264131,47.06998991098053,33
181,2023A00181,2023-01-16,Vente,531198.0459505088,Marseille,,4.0,Maison,13001.0,1.2576650296300045,44.25425027264374,13
182,2023A00182,2023-01-16,VEFA,195369.94079342848,Montpellier,52.01984588131907,7.0,Appartement,34000.0,-1.0250952165483476,44.146470657440666,34
183,2023A00183,2023-01-16,Vente,427862.7035809886,Marseille,44.0704343624986,4.0,Appartement,13001.0,4.907918706749324,49.474340021147555,13
184,2023A00184,2023-01-16,Vente,111831.09867468606,Nantes,62.221602795655734,1.0,Maison,44000.0,-0.5944754234085221,44.50183569281526,44
185,2023A00185,2023-01-16,Vente,308995.24877213564,Paris,44.377913024617136,3.0,Local industriel,75001.0,4.653782323899808,42.6645523013074,75
186,2023A00186,2023-01-16,Vente,81567.5862846141,Lyon,95.89548944511462,2.0,Appartement,69001.0,-2.0112942487411214,46.070028000944895,69
187,2023A00187,2023-01-16,Vente,228597.36610702792,Strasbourg,33.55100851928993,1.0,Maison,67000.0,-1.5794337888189438,49.49268400164932,67
188,2023A00188,2023-01-16,Vente,349483.76808386884,Strasbourg,49.72531917840642,2.0,Appartement,67000.0,5.738411837607115,45.947068842436884,67
189,2023A00189,2023-01-16,Vente,196303.82572734967,Montpellier,27.048116949338056,2.0,Maison,34000.0,0.21288810944450098,49.37121868289702,34
190,2023A00190,2023-01-16,Vente,142876.7176034691,Bordeaux,45.90448405178322,,Maison,33000.0,-3.080470509820401,49.57945658670296,33
191,2023A00191,2023-01-16,Vente,445820.23159580963,Toulouse,23.574892088682365,2.0,Appartement,31000.0,7.709828324622782,49.847823032546785,31
